"year","epiweek","mean_temperature","relative_humidity","precipitation","rainy_days_5","rainy_days_10","rainy_days_30","indexP"
2023,7,24.1433923630488,62.2797286118933,8.15111220682259,5,10,30,2.79652844020024
2023,8,23.3865517025902,76.6683943420316,5.36396691129918,5,10,30,4.19741563482024
2023,9,24.8496058146159,77.4895583733152,12.9999984157223,1,6,26,8.44795761274977
2023,10,25.0258284795852,82.4717780987878,11.2959589818805,3,6,24,11.611262527016
2023,11,26.2752253941127,71.707569542929,0.462641618057091,5,9,24,11.4483320304604
2023,12,24.5804327828544,76.8287512453389,9.7158817940605,5,10,24,7.25483129790035
2023,13,22.1925412859236,72.0127560360884,4.62278369812926,5,10,27,1.93584302372669
2023,14,21.3636802310036,72.1347036248485,0.953473554545781,5,10,30,1.3293768174698
2023,15,22.1090550013951,71.2695342874152,8.05886758635192,5,10,30,1.79725535596498
2023,16,17.8091318766276,69.1774818432031,0.813009153989519,5,10,30,0.198150628253827
2023,17,19.7601130167643,76.9536152463169,10.2373465227856,5,10,30,0.765546586237905
2023,18,20.2146665300642,89.8918221285328,41.10668661815,5,10,30,1.67479214902589
2023,19,15.7816874912807,76.6692004965166,9.79763329620909,5,10,30,0.0622705148969131
2023,20,17.1507085890997,83.0325413652129,0.104571871299604,5,10,30,0.221514935502204
2023,21,19.1820723034087,76.9256357939955,4.61562867815838,5,10,30,0.569689023849013
2023,22,17.0687721615746,78.8243839582222,0.0459354086466135,5,10,30,0.179372694664803
2023,23,17.5065431867327,75.2906025624163,21.6718821580872,5,10,30,0.208490352236667
2023,24,12.2520999726795,79.3295276220049,62.9385868946611,5,10,30,0
2023,25,16.5189082554409,84.7555761629427,11.9886769151805,5,10,30,0.15020305624659
2023,26,16.4175284976051,80.3380001437129,1.26122555460029,5,10,30,0.118800153485259
2023,27,16.8433704194569,84.0337137068375,37.2459451319571,5,10,30,0.185781701032942
2023,28,12.86769837879,84.2909120715148,31.7673488829134,5,10,30,0.000559983382302447
2023,29,15.068508039202,73.8989980634484,1.08706595389663,5,10,30,0.028643381800707
2023,30,14.6322723388672,82.5633880279182,10.2374613413474,5,10,30,0.0226683235953529
2023,31,18.0751982915969,82.3597648589422,0.106158362662256,5,10,30,0.385846018662766
2023,32,15.5038950602214,73.7821850148616,25.8737361473701,5,10,30,0.0440474076877703
2023,33,16.6597694033668,77.5371636349693,2.80040828629069,5,10,30,0.128760918651812
2023,34,14.4642770676386,73.4376123680982,27.2679091337993,5,10,30,0.0138416024540595
2023,35,16.5149191720145,79.7568003402781,7.36273732185773,5,10,30,0.125281646166293
2023,36,16.9700118291946,82.2289574534729,97.2091020276575,3,6,26,0.190069775766012
2023,37,17.7451408749535,74.9510211191994,27.4349941187566,0,1,19,0.23789915961358
2023,38,21.2231242588588,87.1062874087178,41.6037577245637,5,5,17,2.45523335423014
2023,39,16.2527822585333,80.7961997391574,39.3142387921917,5,10,17,0.106180618772666
2023,40,17.4598040626163,80.4449414394787,29.1053311316555,5,10,19,0.246040524071875
2023,41,17.4416090465728,75.94950683428,14.7829000266692,5,10,26,0.205267463176127
2023,42,19.2800780523391,78.195076340308,19.1781959752385,5,10,30,0.632190734175616
2023,43,20.7372677031018,80.0044018793203,10.3846058530124,5,10,30,1.41618970831993
2023,44,18.8318380446661,80.0114177930574,35.9762581922685,1,6,26,0.537813966495475
2023,45,21.831675647554,80.595193272158,26.3744438801533,5,6,25,2.45625132081681
2023,46,21.5311192830404,86.0061267684428,98.6839242720331,5,10,25,2.71588203013484
2023,47,21.0130001976377,71.5672777933409,6.01870007413178,5,10,25,1.09993130055714
2023,48,23.6047952561152,82.5584691507014,12.3348268745787,5,10,27,6.14641441896489
2023,49,21.6058048793248,78.0521580788498,17.8671558226142,5,10,30,1.96307658368885
2023,50,26.7800478980655,75.5098404428015,1.22727528159317,5,10,30,16.4896203298703
2023,51,25.6348801385789,79.034215546517,7.23215942774876,5,10,30,12.8369052391076
2023,52,22.2263635423449,72.5594952680736,14.6401326088365,5,10,30,2.01895971288942
2024,1,23.9895147414435,77.344964305858,5.36871450329575,NA,NA,NA,5.7070095030837
2024,2,25.1228605724517,76.4225992636269,12.7279425687448,5,NA,NA,9.03613015416038
2024,3,24.6735099429176,82.1382214538913,27.7112259451921,5,10,NA,9.77678128471381
2024,4,21.885385131836,73.3378074627562,4.22033450073892,5,10,NA,1.79169192038606
2024,5,24.7697420392718,72.2405955787183,2.43572536375088,5,10,NA,6.25395174177681
2024,6,27.7899475824265,71.6418496457325,1.26341368268908,5,10,30,18.3125163322677
2024,7,24.2016511462984,75.3462278882121,29.5884339921031,5,10,30,5.68801048681781
2024,8,25.0742351713635,75.3410098455961,0.529924838128674,5,10,30,8.37784345600912
2024,9,25.2637217203776,82.7057770509747,16.1289413660294,1,6,26,13.0308705292052
2024,10,22.8860797700428,75.305803555488,9.0785570421635,3,5,24,3.12328450755256
2024,11,25.2151646205357,77.9551582006211,5.94145042119524,5,8,24,10.1519268732061
2024,12,24.2046578543527,73.129880073685,23.116061809669,5,10,24,5.09326785629112
2024,13,23.309587823777,78.1812378278522,1.0443847231271,5,10,26,4.36073922129885
2024,14,22.4346564883278,78.2538405027473,14.7104409858218,5,10,29,2.92139152596334
2024,15,22.0665966942197,85.3760907359713,17.6815250330643,5,10,30,3.41153728175643
2024,16,20.469871593657,77.7568934782527,6.77343821586499,5,10,30,1.12507046762938
2024,17,21.1271570114863,80.7452038922033,21.5677324637606,5,10,30,1.76757402688684
2024,21,16.0258931477865,81.7912938443553,30.4163805473507,5,10,30,0.091344276050507
2024,22,13.8784805297852,84.01607700947,11.0221237321539,5,10,30,0.00780747285812446
2024,23,16.7755556379046,84.0759346951048,2.8698666950507,5,10,30,0.177235772492648
2024,24,19.9890943981353,77.6055838072892,26.0591744012686,5,10,30,0.882651856084976
2024,25,19.7915010724749,85.4839260250952,35.2337782508888,5,10,30,1.12011298552553
2024,26,11.2254595801944,71.5179763084422,20.9069401129464,5,10,30,0
2024,27,11.0595485868908,80.1981824556553,8.33740081395954,5,10,30,0
2024,28,10.3851231892904,83.7379370199774,21.9302550667635,5,10,30,0
2024,29,14.8735286894299,85.3744646884545,3.1170551854179,5,10,30,0.0331556036281639
2024,30,17.4257217407227,85.0626263004434,4.35419935029084,5,10,30,0.286698817483221
2024,31,16.8674233572824,77.7455360096724,15.5011136802633,5,10,30,0.150271717763266
2024,32,14.8778443836031,78.4409404609646,13.5548768119141,5,10,30,0.0267490351663771
2024,33,13.8485253470285,79.6198159009522,1.1510129534326,5,10,30,0.00651464262955124
2024,34,15.4763740176247,79.8596464035828,11.1336045644492,5,10,30,0.0523324471691207
2024,35,15.0706697009859,80.6938574962632,4.4684976327319,5,10,30,0.0355940429181234
2024,36,15.823628452846,81.205511039518,9.62852343780914,4,8,28,0.0752682968234837
2024,37,19.4686072939918,81.5835482832538,12.0839697955345,0,3,21,0.804054101182416
2024,38,19.5345819382441,81.1292389962475,17.801654865243,4,4,18,0.816133452292538
2024,39,20.026137651716,84.6946438029083,30.8547910490683,5,10,18,1.22126583446212
2024,40,18.8293955485026,74.21205038272,6.15010446162264,5,10,20,0.423311888575985
2024,41,19.1983083815802,83.5016905266662,33.6421769802134,5,10,25,0.755934157015939
2024,42,19.6310458228702,79.5447294084822,5.07487544276408,5,10,30,0.801631205720773
2024,43,21.7984866914295,73.2215743932272,5.38748024473061,5,10,30,1.7116491251792
2024,44,23.3482495989119,75.3058415538412,5.62697902671339,3,8,28,3.85808045707608
2024,45,22.2962785266695,78.2459092332194,7.91019022093546,4,5,25,2.73809353888897
2024,46,22.2405861264184,64.8545296162736,5.81635453979246,5,10,25,1.39065293620566
2024,47,20.7659487769717,77.6894721819531,41.7692445084441,5,10,25,1.29439353001605
2024,48,24.769548761277,77.2249970132188,9.5287685914324,5,10,25,8.0476706714583
2024,49,21.3414852323986,69.9328521781401,19.2565577668535,5,10,30,1.18619445494066
2024,50,21.7659237089611,77.293777708283,37.397614076023,5,10,30,2.04325080599885
2024,51,21.6148101080032,78.2879541303362,50.0306137719235,5,10,30,1.99308354373604
2024,52,21.6931280226935,73.4449314716617,12.9252196396455,5,10,30,1.64757427451177
2025,1,23.2204846700033,70.1031570260589,3.94772023855694,NA,NA,NA,2.80670027276109
2025,2,22.6586271740142,68.5262533977533,1.42340637646991,5,NA,NA,2.01342170460969
2025,3,26.0082456316267,69.5060991102215,1.72448445781252,5,10,NA,9.22096232393033
2025,4,25.7814611525763,73.2970472061462,8.9071470563861,5,10,NA,10.2407617825019
2025,5,24.8538630167643,77.0696250816319,8.725205193817,5,10,NA,8.28984611626733
2025,6,27.3498663039435,68.6794543055754,1.17719002205282,5,10,30,13.7365460833471
2025,7,26.5467740740095,75.9176158631322,14.4653527478908,5,10,30,15.5914559277738
2025,8,24.1828050885882,78.0295482328978,15.3179850917896,5,10,30,6.43968153525648
2025,9,28.7039032709031,71.1879309249806,1.3265200966354,3,8,28,22.3317101317662
2025,10,28.0452420189267,63.4017468921334,3.87316864361598,4,5,25,12.3608896983257
